date,Buyout and Growth,,date,Buyout and Growth,,,
6/30/21,2.711605073,,,,,,
7/31/21,0.278019381,,,,,,
8/31/21,1.616005262,,,,,,
9/30/21,-1.444419855,,,,,,
10/31/21,3.707655689,,,,,,
11/30/21,-0.297888512,,,,,,
12/31/21,3.15216989,,,,,,
1/31/22,-2.145660827,,,,,,
2/28/22,-0.228245144,,,,,,
3/31/22,1.571444606,,,,,,
4/30/22,-2.947030506,,,,,,
5/31/22,1.105509939,,,,,,
6/30/22,-3.365579587,,,,,,
7/31/22,3.819990262,,,,,,
8/31/22,-0.994600887,,,,,,
9/30/22,-4.421051843,,,,,,
10/31/22,2.901112678,,,,,,
11/30/22,3.542646313,,,,,,
12/31/22,-1.871716762,,,,,,
1/31/23,3.600960604,,,,,,
2/28/23,-1.428532861,,,,,,
3/31/23,0.763895089,,,,,,
4/30/23,0.733196461,,,,,,
5/31/23,-0.633812683,,,,,,
6/30/23,3.191888469,,,,,,
7/31/23,2.667998148,,,,,,
8/31/23,-0.871063055,,,,,,
9/30/23,-1.505148442,,,,,,
10/31/23,,,,,,,
11/30/23,,,,,,,
12/31/23,,,,,,,
