name,date,value,in counts,master version,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/14,-0.43999717,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/14,0.7999969,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/14,1.1600024,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/14,1.0099986,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/15,1.95,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/15,-0.22000167,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/15,1.210002,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/15,0.11999788,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/15,0.7700032,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/15,-1.3800042,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/15,0.9900035,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/15,0.38999894,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/15,0.819997,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/15,-0.47999933,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/15,-0.13999768,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/15,-0.9600021,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/16,1.6800038,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/29/16,-1.1100003,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/16,-0.13000289,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/16,0.1800018,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/16,-0.26000267,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/16,1.9200047,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/16,0.80999744,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/16,-0.43999773,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/16,0.4699956,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/16,-0.14999792,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/16,-1.620002,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/16,-0.07999768,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/17,0.93000126,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/17,0.4199975,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/17,-0.3299998,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/17,0.89000064,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/17,1.0000011,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/17,-0.2700006,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/17,0.6499991,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/17,1.1500007,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/17,-1.7199992,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/17,-1.0800012,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/17,-0.4800004,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/17,0.4900012,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/18,-0.9099979,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/18,0.18999977,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/18,1.1699972,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/18,-0.7399974,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/18,0.75999606,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/18,-0.059998564,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/18,-0.5499975,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/18,1.2899996,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/18,-0.24999888,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/18,-0.13000193,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/18,0.12000075,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/18,0.71999824,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/19,0.4799994,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/19,0.16999848,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/19,1.300005,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/19,0.039995123,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/19,1.7400047,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/19,0.49999833,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/19,0.1200006,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/19,1.2600011,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/19,-0.41000316,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/19,-0.14000161,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/19,-0.00999575,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/19,0.16999729,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/20,1.3200009,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/29/20,0.42999956,valid,.,,,,,,,,,,,,,,,
